categoria,camion,cantidad_total,numero_productos,stock_estimado,stock_minimo,demanda_semanal,unidades_transito,tiempo_reposicion_dias,dias_sin_reposicion,tiene_incidencia,rotacion_producto,riesgo_operativo,anomalia_dbscan,cluster_meanshift
Alimentos,Camión 06,31,3,36,11,153,61,12,28,1,Alta,Riesgo,0,0
Muebles,Camión 06,60,5,103,18,24,46,15,6,0,Alta,Normal,0,0
Tecnología,Camión 03,60,5,142,52,20,15,3,27,0,Baja,Normal,0,0
Muebles,Camión 06,19,4,135,45,88,65,10,12,0,Alta,Normal,0,0
Muebles,Camión 05,49,7,80,31,124,80,1,3,0,Alta,Normal,0,0
Electrodoméstico,Camión 06,63,7,63,31,77,95,19,33,0,Media,Riesgo,0,0
Tecnología,Camión 01,110,4,35,31,52,42,19,10,0,Media,Riesgo,0,0
Tecnología,Camión 06,83,3,97,43,78,7,13,31,0,Baja,Riesgo,0,0
Tecnología,Camión 03,22,3,73,38,150,2,12,15,0,Media,Riesgo,0,0
Muebles,Camión 01,24,1,56,47,147,11,1,7,1,Alta,Riesgo,0,0
Alimentos,Camión 03,109,1,93,55,84,83,19,36,1,Baja,Riesgo,0,0
Tecnología,Camión 03,76,7,131,42,112,15,16,14,0,Baja,Riesgo,0,0
Muebles,Camión 01,30,4,173,27,50,77,15,14,1,Media,Riesgo,0,0
Electrodoméstico,Camión 03,58,6,35,16,68,79,16,3,0,Media,Normal,0,0
Alimentos,Camión 03,102,6,88,10,48,58,11,3,1,Media,Riesgo,0,0
Electrodoméstico,Camión 06,117,4,131,42,12,48,6,22,0,Baja,Normal,0,0
Alimentos,Camión 05,31,1,154,10,16,62,11,19,0,Media,Normal,0,0
Muebles,Camión 03,100,7,136,33,58,61,3,35,0,Alta,Normal,0,0
Ropa,Camión 03,64,7,17,13,35,48,15,12,0,Baja,Riesgo,0,0
Alimentos,Camión 03,19,1,49,13,110,50,1,5,1,Media,Riesgo,0,0
Electrodoméstico,Camión 06,48,6,131,27,88,32,7,10,0,Alta,Normal,0,0
Muebles,Camión 05,45,2,174,36,11,29,1,33,0,Alta,Normal,0,0
Alimentos,Camión 01,100,2,118,52,136,58,17,13,0,Media,Riesgo,0,0
Ropa,Camión 06,94,1,24,41,141,75,9,35,0,Alta,Riesgo,0,0
Ropa,Camión 06,55,2,85,42,29,14,13,32,0,Baja,Normal,0,0
Tecnología,Camión 05,113,5,168,37,126,81,11,11,0,Baja,Riesgo,0,0
Tecnología,Camión 05,55,4,133,51,41,91,6,38,0,Alta,Normal,0,0
Electrodoméstico,Camión 06,97,4,147,50,37,22,1,24,1,Baja,Riesgo,0,0
Alimentos,Camión 01,18,1,21,45,86,77,7,35,1,Media,Riesgo,0,0
Alimentos,Camión 06,63,3,156,15,10,93,12,19,0,Alta,Riesgo,0,0
Tecnología,Camión 05,116,6,62,25,65,96,19,6,0,Baja,Riesgo,0,0
Alimentos,Camión 01,113,1,76,43,44,44,17,35,0,Media,Riesgo,0,0
Alimentos,Camión 05,92,2,113,32,121,61,4,4,0,Media,Normal,0,0
Ropa,Camión 01,47,6,27,59,39,78,3,33,0,Baja,Riesgo,0,0
Tecnología,Camión 03,75,3,178,51,63,70,1,13,1,Alta,Riesgo,0,0
Muebles,Camión 05,57,2,76,33,45,14,18,36,0,Media,Normal,0,0
Tecnología,Camión 05,118,7,12,58,89,45,15,19,1,Media,Riesgo,0,0
Muebles,Camión 06,45,5,63,22,67,63,8,12,1,Media,Riesgo,0,0
Ropa,Camión 05,33,2,115,27,92,45,1,11,1,Media,Riesgo,0,0
Electrodoméstico,Camión 05,17,5,17,22,74,55,14,6,1,Alta,Riesgo,0,0
Alimentos,Camión 03,70,6,171,58,78,43,4,12,0,Baja,Normal,0,0
Ropa,Camión 05,4,5,160,46,137,74,5,27,0,Baja,Normal,0,0
Alimentos,Camión 03,20,6,20,52,60,28,13,25,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 03,112,6,123,48,31,94,15,3,0,Media,Riesgo,0,0
Electrodoméstico,Camión 03,47,6,6,51,116,61,6,3,0,Alta,Riesgo,0,0
Ropa,Camión 03,91,6,149,26,118,88,1,20,0,Baja,Normal,0,0
Electrodoméstico,Camión 01,15,6,34,24,125,51,19,28,0,Alta,Riesgo,0,0
Muebles,Camión 06,70,2,107,27,110,53,13,23,1,Baja,Riesgo,0,0
Electrodoméstico,Camión 01,47,6,17,32,109,87,6,3,1,Media,Riesgo,0,0
Alimentos,Camión 05,78,2,100,39,77,56,15,24,0,Baja,Riesgo,0,0
Alimentos,Camión 01,75,6,98,43,45,82,16,6,0,Media,Riesgo,0,0
Alimentos,Camión 01,103,5,86,13,155,65,16,20,0,Media,Riesgo,0,0
Alimentos,Camión 05,9,7,17,12,31,21,10,11,0,Baja,Normal,0,0
Muebles,Camión 05,90,6,175,16,75,19,9,32,1,Alta,Riesgo,0,0
Tecnología,Camión 05,16,3,98,27,30,32,9,27,0,Media,Normal,0,0
Ropa,Camión 01,69,6,153,51,109,71,17,21,0,Alta,Riesgo,0,0
Alimentos,Camión 01,116,6,116,16,137,24,17,13,1,Baja,Riesgo,0,0
Electrodoméstico,Camión 05,61,5,59,49,53,45,17,22,1,Media,Riesgo,0,0
Alimentos,Camión 06,10,4,85,15,112,72,12,35,0,Alta,Normal,0,0
Electrodoméstico,Camión 06,50,5,172,31,56,97,13,22,0,Media,Normal,0,0
Electrodoméstico,Camión 03,3,3,120,10,48,56,12,28,0,Baja,Normal,0,0
Alimentos,Camión 05,77,4,147,13,38,86,14,21,0,Media,Riesgo,0,0
Muebles,Camión 03,107,1,112,55,63,4,10,18,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 06,113,1,57,58,99,54,19,31,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 03,94,3,132,59,94,60,2,37,0,Media,Normal,0,0
Alimentos,Camión 05,118,5,162,52,26,88,4,21,0,Alta,Normal,0,0
Electrodoméstico,Camión 05,109,2,165,38,89,7,19,14,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 05,70,3,61,30,82,15,7,25,0,Baja,Riesgo,0,0
Alimentos,Camión 01,81,7,56,35,58,47,15,27,0,Alta,Riesgo,0,0
Alimentos,Camión 03,109,4,141,23,110,60,15,23,0,Alta,Riesgo,0,0
Ropa,Camión 06,51,4,115,18,11,14,6,31,1,Baja,Riesgo,0,0
Muebles,Camión 06,117,6,5,56,151,64,3,29,0,Alta,Riesgo,0,0
Muebles,Camión 06,19,1,48,21,68,21,6,30,1,Baja,Riesgo,0,0
Electrodoméstico,Camión 01,42,4,79,51,106,2,16,26,0,Alta,Riesgo,0,0
Muebles,Camión 01,35,3,102,15,108,53,2,20,0,Baja,Normal,0,0
Electrodoméstico,Camión 05,46,4,13,29,112,13,7,38,0,Baja,Riesgo,0,0
Ropa,Camión 06,26,3,36,33,11,35,11,19,0,Media,Normal,0,0
Alimentos,Camión 01,115,2,19,36,50,81,7,27,0,Baja,Riesgo,0,0
Alimentos,Camión 05,69,6,144,47,132,81,4,25,0,Baja,Normal,0,0
Alimentos,Camión 06,93,1,140,17,91,66,7,38,0,Media,Normal,0,0
Muebles,Camión 03,64,4,76,10,153,9,4,23,0,Media,Riesgo,0,0
Ropa,Camión 05,37,3,159,58,141,48,12,29,0,Alta,Normal,0,0
Muebles,Camión 01,84,5,16,58,149,64,5,15,0,Alta,Riesgo,0,0
Muebles,Camión 01,49,1,69,33,38,90,19,3,0,Baja,Normal,0,0
Ropa,Camión 05,21,2,111,56,144,56,5,10,0,Alta,Normal,0,0
Ropa,Camión 05,74,3,46,16,23,26,19,15,0,Alta,Riesgo,0,0
Ropa,Camión 01,64,7,119,28,21,74,3,16,0,Baja,Normal,0,0
Ropa,Camión 03,5,7,143,31,108,4,11,17,0,Media,Normal,0,0
Alimentos,Camión 06,100,6,107,44,142,70,7,19,0,Media,Normal,0,0
Tecnología,Camión 03,70,6,175,39,90,82,17,11,1,Baja,Riesgo,0,0
Tecnología,Camión 05,90,2,99,38,115,56,9,5,0,Baja,Riesgo,0,0
Ropa,Camión 03,4,2,21,31,41,92,9,5,0,Baja,Riesgo,0,0
Tecnología,Camión 01,103,6,164,20,83,14,10,14,0,Baja,Riesgo,0,0
Tecnología,Camión 05,39,4,89,29,90,98,13,26,0,Baja,Normal,0,0
Ropa,Camión 06,114,4,172,38,78,75,15,8,0,Baja,Riesgo,0,0
Tecnología,Camión 01,35,3,155,50,54,29,5,5,0,Alta,Normal,0,0
Muebles,Camión 01,1,5,60,51,115,19,3,7,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,24,3,138,43,146,36,8,16,0,Alta,Normal,0,0
Electrodoméstico,Camión 06,57,5,90,10,109,2,10,14,0,Media,Riesgo,0,0
Ropa,Camión 03,100,2,106,40,155,72,13,37,0,Baja,Riesgo,0,0
Alimentos,Camión 05,70,1,169,39,18,40,3,4,0,Baja,Normal,0,0
Ropa,Camión 06,41,3,58,57,71,38,8,36,0,Alta,Riesgo,0,0
Alimentos,Camión 06,54,3,119,27,38,25,9,17,0,Media,Normal,0,0
Electrodoméstico,Camión 05,46,5,143,26,134,1,12,36,0,Alta,Normal,0,0
Ropa,Camión 06,60,2,92,47,123,22,11,6,0,Baja,Riesgo,0,0
Muebles,Camión 06,108,2,53,23,152,22,2,16,0,Baja,Riesgo,0,0
Tecnología,Camión 03,60,7,153,32,143,84,18,29,0,Alta,Normal,0,0
Alimentos,Camión 01,57,5,119,34,129,15,9,36,1,Alta,Riesgo,0,0
Tecnología,Camión 01,31,2,67,24,88,8,2,38,0,Baja,Riesgo,0,0
Tecnología,Camión 01,84,6,108,55,102,12,2,37,0,Alta,Normal,0,0
Ropa,Camión 01,24,4,87,31,13,27,3,10,0,Baja,Normal,0,0
Tecnología,Camión 06,89,7,107,12,91,26,16,36,0,Alta,Riesgo,0,0
Muebles,Camión 05,36,6,160,28,84,50,19,29,0,Media,Normal,0,0
Tecnología,Camión 05,85,1,21,53,23,63,4,14,1,Baja,Riesgo,0,0
Ropa,Camión 03,30,3,10,43,140,51,18,4,0,Media,Riesgo,0,0
Muebles,Camión 03,24,7,151,44,123,80,18,36,0,Alta,Normal,0,0
Electrodoméstico,Camión 06,108,1,32,59,71,37,10,13,0,Media,Riesgo,0,0
Tecnología,Camión 05,106,3,42,10,115,99,11,18,1,Alta,Riesgo,0,0
Ropa,Camión 05,30,4,123,30,73,64,17,33,0,Media,Normal,0,0
Electrodoméstico,Camión 01,86,2,41,38,111,17,16,21,0,Media,Riesgo,0,0
Electrodoméstico,Camión 06,92,6,119,15,115,62,13,16,0,Media,Riesgo,0,0
Alimentos,Camión 06,7,5,72,46,29,50,2,15,0,Baja,Normal,0,0
Muebles,Camión 01,35,6,47,10,67,8,2,5,0,Media,Riesgo,0,0
Tecnología,Camión 06,55,4,168,10,121,12,14,6,0,Alta,Normal,0,0
Ropa,Camión 06,92,1,62,36,66,39,4,38,0,Alta,Riesgo,0,0
Alimentos,Camión 03,14,5,17,30,128,54,17,3,0,Baja,Riesgo,0,0
Muebles,Camión 05,10,2,56,25,106,78,13,12,0,Baja,Normal,0,0
Alimentos,Camión 06,80,4,62,53,101,42,4,36,0,Alta,Riesgo,0,0
Muebles,Camión 03,16,5,36,49,61,43,3,33,0,Media,Riesgo,0,0
Muebles,Camión 05,54,4,109,35,46,67,12,36,1,Alta,Riesgo,0,0
Tecnología,Camión 01,95,4,87,25,17,32,8,33,0,Baja,Normal,0,0
Muebles,Camión 03,106,2,103,37,53,23,2,31,1,Baja,Riesgo,0,0
Alimentos,Camión 03,89,7,108,10,107,35,6,21,1,Alta,Riesgo,0,0
Muebles,Camión 05,77,3,32,45,142,9,10,27,0,Media,Riesgo,0,0
Tecnología,Camión 01,70,5,133,19,127,99,12,27,0,Media,Riesgo,0,0
Tecnología,Camión 03,44,2,174,52,78,19,10,8,0,Baja,Normal,0,0
Alimentos,Camión 06,73,4,52,26,54,74,10,37,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,45,2,44,32,146,11,3,32,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,100,7,101,16,41,61,10,26,0,Baja,Riesgo,0,0
Muebles,Camión 01,56,3,118,53,42,17,9,2,0,Alta,Normal,0,0
Ropa,Camión 03,107,6,136,16,135,93,19,12,0,Baja,Riesgo,0,0
Muebles,Camión 06,84,5,170,53,76,62,14,22,0,Media,Riesgo,0,0
Alimentos,Camión 01,82,3,159,24,39,83,2,17,1,Media,Riesgo,0,0
Alimentos,Camión 06,107,1,141,43,123,24,5,7,0,Alta,Normal,0,0
Alimentos,Camión 05,57,5,115,55,38,11,8,4,1,Media,Riesgo,0,0
Alimentos,Camión 03,21,3,148,54,140,20,7,37,0,Media,Normal,0,0
Alimentos,Camión 03,68,4,80,13,39,24,6,38,1,Baja,Riesgo,0,0
Tecnología,Camión 01,50,5,35,23,146,10,11,32,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 01,33,5,123,23,139,63,12,11,0,Alta,Normal,0,0
Alimentos,Camión 03,91,2,146,25,71,72,18,1,0,Baja,Riesgo,0,0
Ropa,Camión 06,7,4,29,16,12,49,19,25,0,Alta,Riesgo,0,0
Ropa,Camión 06,70,1,38,41,77,61,10,24,1,Alta,Riesgo,0,0
Ropa,Camión 05,15,6,71,28,34,88,14,17,0,Baja,Normal,0,0
Ropa,Camión 06,82,7,156,11,150,98,3,8,1,Media,Riesgo,0,0
Tecnología,Camión 01,32,3,122,19,53,95,18,27,0,Media,Normal,0,0
Ropa,Camión 01,75,2,77,59,64,48,15,18,0,Media,Riesgo,0,0
Alimentos,Camión 06,20,3,30,26,146,13,6,27,1,Media,Riesgo,0,0
Muebles,Camión 01,88,1,152,46,139,0,10,22,0,Alta,Riesgo,0,0
Ropa,Camión 03,15,1,108,21,50,80,12,16,0,Media,Normal,0,0
Tecnología,Camión 03,48,5,14,15,73,24,7,2,1,Alta,Riesgo,0,0
Tecnología,Camión 06,71,7,71,31,40,58,17,5,1,Baja,Riesgo,0,0
Ropa,Camión 03,21,1,156,41,56,71,1,18,1,Baja,Normal,0,0
Muebles,Camión 03,42,3,9,50,139,68,18,3,1,Alta,Riesgo,0,0
Ropa,Camión 05,26,4,31,29,105,4,15,27,0,Media,Riesgo,0,0
Tecnología,Camión 05,108,4,117,10,86,98,19,17,1,Alta,Riesgo,0,0
Electrodoméstico,Camión 03,14,5,19,56,119,18,1,16,0,Media,Riesgo,0,0
Alimentos,Camión 06,57,6,167,15,78,22,5,6,1,Media,Riesgo,0,0
Tecnología,Camión 05,37,3,109,28,67,8,15,7,0,Alta,Normal,0,0
Ropa,Camión 01,58,3,48,27,115,93,3,14,0,Alta,Normal,0,0
Alimentos,Camión 01,21,1,30,15,53,49,1,38,0,Media,Riesgo,0,0
Ropa,Camión 01,82,7,179,54,83,15,8,15,0,Alta,Normal,0,0
Ropa,Camión 06,69,3,166,42,65,32,12,33,0,Media,Riesgo,0,0
Electrodoméstico,Camión 03,3,2,99,32,136,1,19,27,1,Alta,Riesgo,0,0
Alimentos,Camión 01,87,6,88,32,39,13,12,29,1,Baja,Riesgo,0,0
Alimentos,Camión 06,90,1,144,35,80,0,13,37,0,Media,Riesgo,0,0
Electrodoméstico,Camión 05,37,2,136,22,127,89,1,5,0,Baja,Normal,0,0
Tecnología,Camión 03,88,5,91,16,64,57,19,29,0,Alta,Riesgo,0,0
Ropa,Camión 05,49,4,116,24,76,88,6,32,0,Baja,Normal,0,0
Muebles,Camión 06,19,5,133,53,150,15,8,6,0,Alta,Riesgo,0,0
Ropa,Camión 01,115,4,93,36,12,78,4,2,1,Media,Riesgo,0,0
Ropa,Camión 01,89,5,70,35,35,89,5,6,0,Alta,Normal,0,0
Tecnología,Camión 06,85,3,162,42,66,46,7,4,0,Alta,Normal,0,0
Ropa,Camión 01,12,2,135,24,135,43,4,29,0,Media,Normal,0,0
Electrodoméstico,Camión 03,61,4,126,45,62,79,4,25,0,Alta,Normal,0,0
Electrodoméstico,Camión 06,41,1,153,54,52,13,15,9,0,Media,Normal,0,0
Alimentos,Camión 05,33,2,88,36,58,92,5,3,0,Alta,Normal,0,0
Muebles,Camión 06,50,1,120,14,51,23,9,26,0,Media,Normal,0,0
Ropa,Camión 03,117,2,120,11,20,54,2,27,0,Baja,Normal,0,0
Ropa,Camión 03,68,2,42,42,112,14,7,36,1,Alta,Riesgo,0,0
Tecnología,Camión 06,106,5,147,25,107,82,17,32,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,71,4,114,32,155,71,16,1,0,Alta,Riesgo,0,0
Muebles,Camión 01,86,4,50,47,94,33,17,16,0,Media,Riesgo,0,0
Alimentos,Camión 03,119,7,29,25,109,1,2,11,1,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,33,2,25,23,113,26,11,26,0,Media,Riesgo,0,0
